id,username,message,created_at,group_code
9b25164b-7812-4372-bfe9-2e2fddf29cd6,Ramin,Hey guys! Please predict,2026-05-29T02:25:03.009054+00:00,default
7181b226-4785-4928-b7ed-0986c8db1c4f,Ramin,Hey guys please predict,2026-05-29T02:25:21.462627+00:00,default
1f1f3fa5-8193-43d1-909d-617ccb098ba4,Ramin,Testing,2026-05-29T02:27:20.886901+00:00,default
17c9fa15-7e9e-45cf-b5ce-a203eb0629b3,⚡,💔 Ramin reacted to Mexico vs South Korea,2026-05-29T02:35:12.500102+00:00,default
5f81eab3-4d2b-4718-b77f-c8a39a7dffcd,⚡,💔 Ramin reacted to Mexico vs South Korea,2026-05-29T02:35:17.761225+00:00,default
37123190-1f02-4b40-8806-38d2be6b0074,⚡,😱 Ramin reacted to Mexico vs South Korea,2026-05-29T02:41:47.354029+00:00,default
89fddd7d-8f7d-4353-95b7-d78d8c26c7a9,⚡,💔 Ramin reacted to Mexico vs South Korea,2026-05-29T03:07:12.44312+00:00,default
b44a3196-f4f7-42d7-be25-8bef06df1a39,Ramin,"Here is a list of people who have contributed so far:
Artin O/Doci, Armen, Verj, Zareh G, Oli, Ramin",2026-05-31T17:46:31.170573+00:00,default
47751444-f082-41f8-a496-e5038bdd6f5b,⚡,"📣 Admin Reminder
1/8 players have saved predictions.
Still waiting on: Sohrab, Arash, AraTotoKing, Germany Fan Since 82, Verj, Arby G, IrishmanArtin
Tournament kicks off in 11 days!",2026-05-31T19:51:32.041822+00:00,default
7fb5cf6d-b3d5-41ce-9d49-faeb0c3ecffd,⚡,"📣 Admin Reminder
1/8 players have saved predictions.
Still waiting on: Sohrab, Arash, AraTotoKing, Germany Fan Since 82, Verj, Arby G, IrishmanArtin
Tournament kicks off in 11 days!",2026-05-31T19:51:34.288203+00:00,default
e6c940ae-1324-464c-ba29-2b7953937fc5,⚡,"📣 Admin Reminder
1/8 players have saved predictions.
Still waiting on: Sohrab, Arash, AraTotoKing, Germany Fan Since 82, Verj, Arby G, IrishmanArtin
Tournament kicks off in 11 days!",2026-05-31T19:54:43.343437+00:00,default
e86f630e-07ac-4c97-a01a-fe428d2a32eb,⚡,"📣 Admin Reminder
1/8 players have saved predictions.
Still waiting on: Sohrab, Arash, AraTotoKing, Germany Fan Since 82, Verj, Arby G, IrishmanArtin
Tournament kicks off in 11 days!",2026-05-31T19:57:38.188973+00:00,default
801605c7-53bd-48cc-b9ad-3b07dd169509,⚡,"📣 Admin Reminder
0/14 players have saved predictions.
Still waiting on: Joseph blank, Arash, Arby G, Sohrab, AraTotoKing, Art, Where'sTheLahmSauce, IrishmanArtin, Germany Fan Since 82, OliCR7, Ramin, Edwin, Verj, Andre G
Tournament kicks off in 5 days!",2026-06-06T20:19:24.803604+00:00,default
cfc06c49-204b-49d1-98b2-bd82936aa0c6,⚡,"📣 Admin Reminder
1/14 players fully predicted.
⚠️ Haven't predicted yet: Joseph blank, Arash, Sohrab, Art, Where'sTheLahmSauce, Germany Fan Since 82, OliCR7, Edwin, Verj
⏳ Partially: Arby G 1/72, AraTotoKing 3/72, IrishmanArtin 12/72, Andre G 24/72
⏱ 5 days to kickoff — fill yours now!",2026-06-06T21:25:24.515613+00:00,default
692bd8e7-f86c-4d19-a78c-46892bcbf4f5,Ramin,Reminder: games will be locked 15 min before kickoff! Podium predictions will be locked on kickoff day June 11,2026-06-07T21:03:35.905986+00:00,default
7b423025-381e-48d2-a0d5-306008851993,⚡,"📣 Admin Reminder
3/16 players fully predicted.
⚠️ Haven't predicted yet: Joseph blank, Arash, Sohrab, Art, Germany Fan Since 82, Where'sTheLahmSauce, OliCR7, Edwin, Verj
⏳ Partially: Arby G 1/72, AraTotoKing 3/72, Andre G 24/72, IrishmanArtin 12/72
🔜 Unpredicted in next 5 days: Joseph blank (3/3 games), Arash (3/3 games), Arby G (3/3 games), Sohrab (3/3 games), AraTotoKing (3/3 games), Art (3/3 games), Germany Fan Since 82 (3/3 games), Where'sTheLahmSauce (3/3 games), OliCR7 (3/3 games), Edwin (3/3 games), Verj (3/3 games)
👑 No winner pick yet: Joseph blank, Arash, Arby G, Sohrab, Art, Germany Fan Since 82, Where'sTheLahmSauce, OliCR7, Edwin, Andre G, Verj
⏱ 4 days to kickoff — fill yours now!",2026-06-07T21:46:26.431404+00:00,default
d6ee9ea3-37af-4466-bbfa-0c9d439d55c6,Ramin,PLEASE SELECT TOP SCORER in the Podium tab,2026-06-08T18:17:43.368958+00:00,default
88b116cc-3fbb-43dc-ba7b-a7c4ce4b97bf,Ramin,(My Pick),2026-06-08T18:19:48.588196+00:00,default
a5e3ef0c-8a2b-4101-a9c7-1589a9f2ec2b,AraTotoKing,Hi guys 😉⚽️,2026-06-09T07:11:10.417963+00:00,default
58c9762b-8872-433f-8932-d9f79cb4a961,Ramin,Hello⚽️,2026-06-09T14:41:13.542914+00:00,default
22ce4821-4467-4772-8606-604fcc8b7073,Ramin,Please pick top scorer at the bottom of the”my pick” tab,2026-06-09T16:03:12.352114+00:00,default
f71082d3-0ae5-4ca8-b147-81cc1a53828c,🤖 AI,"🌅 Daily Recap
⚽ Good morning! The World Cup is here — check the leaderboard and stay sharp!",2026-06-10T05:52:58.482029+00:00,default
c9f66285-2aed-41c3-8d24-25ca92e34251,🤖 AI,"🌅 Daily Recap
⚽ Good morning! The World Cup is here — check the leaderboard and stay sharp!",2026-06-10T05:52:58.576662+00:00,EDWIN-LEAGUE
